Latitude (degs), Longitude (degs)
-31.779550,32.816582
-27.678088,42.834044
-23.989802,51.598758
-18.806682,59.988870
-15.725904,66.244750
-11.146875,72.202097
-5.978773,79.156959
-4.106144,86.322608
6.331394,94.202703
4.864633,98.999772
1.782918,102.646154
-4.737282,107.378557
-3.774656,108.940745
-5.704720,113.167645
-8.346104,115.805628
-13.984187,116.859752
-19.921006,115.422070
-11.699355,96.572552
-19.312342,81.924448
-30.740138,73.377452
-31.507992,51.185237
-37.121483,129.938005
-38.341352,103.271873
5.988127,88.819843
5.845956,82.675077
7.669857,77.180838
8.917593,71.657793
10.725492,65.787427
12.027097,60.161968
13.890547,54.928103
13.712629,72.681731
19.443439,69.750506
23.101235,65.803788
18.909687,59.826346
-3.103252,116.980566
42.114322,136.577790
2.076950,119.385547
8.043991,120.248610
10.416477,124.395061
14.892502,119.651049
21.352160,121.786744
24.691303,123.970852
27.734273,126.821103
31.208342,128.822105
34.776051,130.956183
33.886465,136.575662
36.032984,141.610482
41.735482,142.674902
47.277322,154.151552
52.124753,144.939099
57.746788,150.691122
54.051257,177.985762
41.460823,162.510197
25.215339,146.889212
15.557351,151.908920
1.879368,156.910154
-5.227700,177.446906
-18.282294,178.171040
-22.708394,166.773265
48.592006,165.139144
-34.307848,173.001000
-26.339027,162.523900
-21.483107,154.055965
-15.566715,152.875338
-9.836091,151.575114
-15.192152,107.923894
-35.057088,20.114297
-32.191569,11.392843
-28.183748,0.000000
-16.971325,-18.037882
10.416477,-25.784284
-7.455666,-31.522775
-31.339439,-2.363599
-29.541538,-14.860749
-26.863414,-25.490989
-25.308979,-32.916652
-22.680334,-40.270687
-35.019554,-12.185708
-35.132157,-27.735354
-34.382761,-43.099492
-38.763615,-41.353933
-38.604093,-54.748163
-44.235825,-61.489255
-52.085636,-62.982355
-53.523180,-72.632356
-44.055876,-75.351733
-34.448309,-73.711874
-28.146292,-75.045881
-17.364616,-77.589633
-7.105851,-83.910797
-5.926395,-90.854906
-2.807347,-36.289603
1.324079,-44.320227
5.468081,-50.524972
11.287336,-61.851266
16.231563,-61.546752
18.010736,-66.763915
18.675585,-73.293735
14.424298,-67.314835
14.920594,-73.580157
14.152740,-79.100670
11.540166,-73.896416
18.675585,-81.217382
21.651467,-85.244596
24.672596,-87.081272
25.646086,-93.067965
20.108166,-93.835443
6.964615,-81.204515
9.882858,-87.743768
13.497256,-94.688501
16.971325,-101.710031
20.865786,-107.735779
25.280887,-113.564821
29.223159,-119.620858
34.158023,-125.505470
36.492781,120.540451
39.420467,-137.839791
46.538411,-128.829584
51.234844,-12.780602
55.553292,-133.131518
28.680044,-76.099824
33.699184,-71.328764
38.360119,-68.210903
45.300497,-57.667462
52.144311,-51.853331
45.732328,-46.255573
43.610739,-36.543351
47.929865,-25.080981
50.472066,-16.382273
44.453658,-40.253530
40.703143,-31.661713
40.419013,-20.571444
36.154971,-14.236621
38.266283,-57.926585
34.438945,-48.660957
32.556767,-38.691298
34.270392,-26.120355
32.744049,-16.699989
32.303938,-64.344643
32.453763,-52.653027
33.118611,-41.148312
33.558723,-27.539631
28.342937,-19.252169
21.801120,-54.038444
22.783221,-43.315107
23.690495,-28.734274
23.269595,-17.595946
12.401660,-43.824376
15.922549,-33.518536
15.332613,-21.600266
12.289291,-17.320573
20.023985,-32.819960
7.310689,-18.746122
6.679338,-12.896013
-2.163100,-27.058549
3.162246,-11.083111
2.856041,-0.699926
20.005279,61.030901
-11.718083,10.995950
-19.883550,11.670958
-28.080743,13.934789
48.764738,-133.954514
51.518442,-143.276467
52.555038,-150.899841
54.002361,-159.785928
57.294003,-152.803723
50.961027,-171.322273
33.792824,-135.409858
39.307864,-139.029670
44.311593,-153.936100
44.340006,-164.562528
43.875927,-175.529001
33.156068,-145.590676
29.457261,-153.974305
23.260241,-156.526257
16.802772,-160.687614
21.791767,-176.336290
9.836091,-151.468671
9.957685,-136.470856
12.888591,-114.691464
0.646121,-105.485648
-10.837861,-103.216282
-18.928415,-101.217766
-25.140426,-98.988740
-28.876689,-125.231340
-16.512485,-143.876638
-33.446354,-145.744854
-10.800404,-146.715228
-31.601633,-153.874266
-29.354256,-166.823338
-17.626809,-165.733635
-7.465019,-164.416809
1.404610,-166.535867
-8.199256,-176.084500
-20.360706,-177.374283
-30.730774,-173.311016
21.791767,-176.336290
-9.892211,-124.436592
40.873621,175.152980
34.448309,172.865618
18.928415,172.645327
6.419316,175.989504
-5.224894,177.446587
-17.598717,177.441034
41.640772,163.136918
40.627375,152.300226
32.350758,150.285497
16.203471,161.071829
10.023187,143.291378
17.720450,135.659423
1.737971,68.603068
-7.123622,67.526808
2.382379,90.922569
-2.940317,50.173146
-11.708719,43.247453
-3.970365,41.955626
-20.117519,38.188760
-3.717535,55.540858
13.890547,85.235844
12.663854,94.933631
10.697400,89.585361
3.897021,49.936695
-62.074891,-57.826110
-53.640530,-42.464171
-49.724361,-170.134015
-48.822315,167.929577
-39.260946,145.989980
-33.184160,153.086850
-32.968786,165.128252
-9.318851,132.264880
-12.860499,124.939396
-10.510118,142.408473
-18.619401,147.048077
-2.556390,132.020396
-0.727588,124.215814
-14.826953,168.548242
32.978150,135.454415
-1.291305,144.269971
6.353842,135.199289
66.333753,-24.695751
64.472227,-12.439894
62.741976,-5.548551
58.078832,-13.236093
68.731865,11.584602
70.807381,24.299027
69.527602,35.523367
78.184275,13.705707
76.789887,44.886407
69.636607,43.409399
73.797154,70.011189
